predicted_label,predicted_probability,confidence,actual_label,risk_level,education_level,employment_type,no_of_dependents,income_annum,loan_amount,loan_term_years,cibil_score,total_assets,dti_ratio,estimated_monthly_payment,pti_ratio,loan_term_months,feat_no_of_dependents,feat_education,feat_self_employed,feat_income_annum,feat_loan_amount,feat_loan_term,feat_cibil_score,feat_residential_assets_value,feat_commercial_assets_value,feat_luxury_assets_value,feat_bank_asset_value,feat_has_debt
Approved,0.986425,HIGH,Approved,LOW,Not Graduate,Self-Employed,5,2300000.0,6700000.0,16,612,20800000.0,2.913044,70075.43,0.365611,192,5.0,-1.3684332778041153e-08,1.0,2300000.0,6700000.0,16.0,612.0,6700000.0,3300000.0,8800000.0,2000000.25,8.166215620386552e-11
Rejected,0.004049,HIGH,Rejected,HIGH,Graduate,Self-Employed,0,2900000.0,7600000.0,8,320,26300000.0,2.62069,115323.64,0.477201,96,1.353272836013275e-07,0.9999999403953552,1.0,2900000.0,7600000.0,8.0,320.0,8000000.0,5600000.0,9600000.0,3100000.0,8.166215620386552e-11
Approved,0.995842,HIGH,Approved,LOW,Not Graduate,Self-Employed,5,8900000.0,28800000.0,6,772,47900000.0,3.235955,533544.1,0.719385,72,5.0,-1.3684332778041153e-08,1.0,8900000.0,28800000.0,6.0,772.0,13600000.0,5500000.0,20400000.0,8400000.0,8.166215620386552e-11
Approved,0.963033,HIGH,Approved,LOW,Not Graduate,Salaried,5,6700000.0,17200000.0,18,613,48200000.0,2.567164,171973.12,0.308012,216,5.0,-1.3684332778041153e-08,-1.2926308912142304e-08,6700000.0,17200000.0,18.0,613.0,9700000.0,6800000.0,24600000.0,7100000.0,8.166215620386552e-11
Approved,0.987232,HIGH,Rejected,LOW,Graduate,Salaried,0,2000000.0,7000000.5,6,666,6900000.5,3.5,129680.87,0.778085,72,1.353272836013275e-07,0.9999999403953552,-1.2926308912142304e-08,2000000.0,7000000.5,6.0,666.0,0.16867469251155853,1199999.875,4300000.5,1400000.0,8.166215620386552e-11
Rejected,0.110551,HIGH,Rejected,HIGH,Graduate,Self-Employed,5,8800000.0,26600000.0,16,545,73700000.0,3.022727,278209.94,0.379377,192,5.0,0.9999999403953552,1.0,8800000.0,26600000.0,16.0,545.0,19100000.0,16600001.0,30400000.0,7600000.0,8.166215620386552e-11
Rejected,0.006937,HIGH,Rejected,HIGH,Graduate,Salaried,4,600000.1875,1700000.75,12,436,2800000.25,2.833334,20316.34,0.406327,144,4.0,0.9999999403953552,-1.2926308912142304e-08,600000.1875,1700000.75,12.0,436.0,399999.65625,-0.1017402932047844,1700000.375,700000.1875,8.166215620386552e-11
Approved,0.994017,HIGH,Approved,LOW,Graduate,Salaried,2,1500000.0,4200001.0,16,771,10100000.0,2.800001,43927.9,0.351423,192,2.0,0.9999999403953552,-1.2926308912142304e-08,1500000.0,4200001.0,16.0,771.0,2500000.25,800000.125,5699999.5,1100000.0,8.166215620386552e-11
Rejected,0.001411,HIGH,Rejected,HIGH,Graduate,Salaried,4,600000.1875,1199999.75,14,338,3799999.5,1.999999,13298.43,0.265968,168,4.0,0.9999999403953552,-1.2926308912142304e-08,600000.1875,1199999.75,14.0,338.0,500000.15625,499999.90625,2299999.25,500000.21875,8.166215620386552e-11
Rejected,0.115837,HIGH,Rejected,HIGH,Graduate,Self-Employed,1,3500000.0,9600000.0,4,398,20200000.0,2.742857,243480.8,0.834791,48,1.0,0.9999999403953552,1.0,3500000.0,9600000.0,4.0,398.0,1699999.625,6000000.0,7900000.0,4600000.0,8.166215620386552e-11
Rejected,0.074504,HIGH,Rejected,HIGH,Not Graduate,Self-Employed,3,6500000.0,22400000.0,6,488,57000000.0,3.446154,414978.75,0.766115,72,3.0,-1.3684332778041153e-08,1.0,6500000.0,22400000.0,6.0,488.0,16800000.0,11700000.0,21700000.0,6800000.0,8.166215620386552e-11
Approved,0.989535,HIGH,Approved,LOW,Graduate,Self-Employed,0,3300000.0,13100000.0,12,812,21500000.0,3.969697,156555.25,0.569292,144,1.353272836013275e-07,0.9999999403953552,1.0,3300000.0,13100000.0,12.0,812.0,4800000.0,4900000.0,7500000.5,4300000.0,8.166215620386552e-11
Rejected,0.01956,HIGH,Rejected,HIGH,Not Graduate,Salaried,1,7400000.0,17900000.0,6,460,34800000.0,2.418919,331612.47,0.53775,72,1.0,-1.3684332778041153e-08,-1.2926308912142304e-08,7400000.0,17900000.0,6.0,460.0,2600000.25,1300000.125,25900000.0,5000000.0,8.166215620386552e-11
Rejected,0.04093,HIGH,Rejected,HIGH,Graduate,Salaried,4,3300000.0,7000000.5,20,504,21200000.0,2.121212,67551.52,0.245642,240,4.0,0.9999999403953552,-1.2926308912142304e-08,3300000.0,7000000.5,20.0,504.0,8200000.0,3200000.0,7300000.5,2500000.0,8.166215620386552e-11
Rejected,0.055856,HIGH,Rejected,HIGH,Graduate,Salaried,3,2800000.0,5900000.0,4,461,13700000.0,2.107143,149639.25,0.641311,48,3.0,0.9999999403953552,-1.2926308912142304e-08,2800000.0,5900000.0,4.0,461.0,1599999.625,399999.90625,8900000.0,2800000.0,8.166215620386552e-11
Rejected,0.137774,HIGH,Rejected,HIGH,Graduate,Salaried,1,4500000.0,12400000.0,6,504,30500000.0,2.755556,229720.4,0.612588,72,1.0,0.9999999403953552,-1.2926308912142304e-08,4500000.0,12400000.0,6.0,504.0,12000000.0,3200000.0,13100000.0,2200000.0,8.166215620386552e-11
Approved,0.982477,HIGH,Approved,LOW,Graduate,Salaried,3,8400000.0,27200000.0,12,604,58600000.0,3.238095,325061.28,0.464373,144,3.0,0.9999999403953552,-1.2926308912142304e-08,8400000.0,27200000.0,12.0,604.0,21400000.0,8800000.0,23700000.0,4700000.0,8.166215620386552e-11
Approved,0.988899,HIGH,Approved,LOW,Not Graduate,Salaried,5,6400000.0,21500000.0,16,728,32500000.0,3.359375,224868.92,0.421629,192,5.0,-1.3684332778041153e-08,-1.2926308912142304e-08,6400000.0,21500000.0,16.0,728.0,300000.15625,5200000.0,17400000.0,9600000.0,8.166215620386552e-11
Approved,0.967391,HIGH,Approved,LOW,Not Graduate,Salaried,4,9200000.0,30300000.0,10,607,79100000.0,3.293478,400416.75,0.522283,120,4.0,-1.3684332778041153e-08,-1.2926308912142304e-08,9200000.0,30300000.0,10.0,607.0,24000000.0,16600001.0,29600000.0,8900000.0,8.166215620386552e-11
Approved,0.987766,HIGH,Approved,LOW,Graduate,Self-Employed,5,4700000.0,11800000.0,4,639,19200000.0,2.510638,299278.5,0.764115,48,5.0,0.9999999403953552,1.0,4700000.0,11800000.0,4.0,639.0,3600000.0,699999.875,9400000.0,5500000.0,8.166215620386552e-11
Approved,0.988264,HIGH,Approved,LOW,Not Graduate,Self-Employed,5,2600000.0,8600000.0,18,651,11500001.0,3.307692,85986.56,0.396861,216,5.0,-1.3684332778041153e-08,1.0,2600000.0,8600000.0,18.0,651.0,1000000.1875,99999.8984375,7800000.5,2600000.0,8.166215620386552e-11
Rejected,0.000681,HIGH,Rejected,HIGH,Not Graduate,Self-Employed,5,9500000.0,21700000.0,16,307,68400000.0,2.28421,226960.72,0.286687,192,5.0,-1.3684332778041153e-08,1.0,9500000.0,21700000.0,16.0,307.0,27500000.0,2700000.0,28500000.0,9700000.0,8.166215620386552e-11
Approved,0.980138,HIGH,Approved,LOW,Not Graduate,Self-Employed,1,999999.9375,2999999.75,10,813,7499999.0,3.0,39645.22,0.475743,120,1.0,-1.3684332778041153e-08,1.0,999999.9375,2999999.75,10.0,813.0,2899999.75,499999.90625,3299999.25,800000.1875,8.166215620386552e-11
Approved,0.997921,HIGH,Approved,LOW,Not Graduate,Salaried,4,3800000.0,8900000.0,4,844,30400000.0,2.342105,225726.98,0.712822,48,4.0,-1.3684332778041153e-08,-1.2926308912142304e-08,3800000.0,8900000.0,4.0,844.0,9100000.0,3500000.0,13100000.0,4700000.0,8.166215620386552e-11
Approved,0.995709,HIGH,Approved,LOW,Graduate,Salaried,2,7400000.0,22500000.0,16,834,40700000.0,3.04054,235327.94,0.381613,192,2.0,0.9999999403953552,-1.2926308912142304e-08,7400000.0,22500000.0,16.0,834.0,6400000.0,12600000.0,15700000.0,6000000.0,8.166215620386552e-11
Approved,0.994899,HIGH,Approved,LOW,Graduate,Self-Employed,5,5500000.0,17300000.0,16,874,25500000.0,3.145455,180941.05,0.39478,192,5.0,0.9999999403953552,1.0,5500000.0,17300000.0,16.0,874.0,1000000.1875,2900000.0,13700000.0,7900000.0,8.166215620386552e-11
Rejected,0.009249,HIGH,Rejected,HIGH,Graduate,Self-Employed,1,7500000.0,22500000.0,14,469,42600000.0,3.0,249345.6,0.398953,168,1.0,0.9999999403953552,1.0,7500000.0,22500000.0,14.0,469.0,12300000.0,9600000.0,16200000.0,4500000.0,8.166215620386552e-11
Approved,0.987501,HIGH,Approved,LOW,Not Graduate,Self-Employed,1,3300000.0,11700000.0,4,682,22900000.0,3.545454,296742.25,1.079063,48,1.0,-1.3684332778041153e-08,1.0,3300000.0,11700000.0,4.0,682.0,3500000.25,5500000.0,12300000.0,1600000.0,8.166215620386552e-11
Rejected,0.000978,HIGH,Rejected,HIGH,Graduate,Salaried,2,9800000.0,25300000.0,12,313,60200000.0,2.581632,302354.8,0.37023,144,2.0,0.9999999403953552,-1.2926308912142304e-08,9800000.0,25300000.0,12.0,313.0,20200000.0,5200000.0,25500000.0,9300000.0,8.166215620386552e-11
Approved,0.995476,HIGH,Approved,LOW,Not Graduate,Self-Employed,4,2200000.0,7900000.5,18,848,16900000.0,3.590909,78987.66,0.430842,216,4.0,-1.3684332778041153e-08,1.0,2200000.0,7900000.5,18.0,848.0,5100000.0,1700000.125,8500000.0,1600000.0,8.166215620386552e-11
Rejected,0.001049,HIGH,Rejected,HIGH,Graduate,Salaried,2,5500000.0,19600000.0,16,328,21800000.0,3.563636,204996.78,0.447266,192,2.0,0.9999999403953552,-1.2926308912142304e-08,5500000.0,19600000.0,16.0,328.0,2400000.25,4800000.0,10900000.0,3700000.0,8.166215620386552e-11
Approved,0.988617,HIGH,Approved,LOW,Not Graduate,Salaried,0,8500000.0,21000000.0,6,665,52000000.0,2.470588,389042.6,0.549237,72,1.353272836013275e-07,-1.3684332778041153e-08,-1.2926308912142304e-08,8500000.0,21000000.0,6.0,665.0,3600000.0,9600000.0,27500000.0,11300000.0,8.166215620386552e-11
Approved,0.991029,HIGH,Approved,LOW,Graduate,Self-Employed,3,600000.1875,1799999.75,4,843,3800000.75,2.999998,45652.64,0.913053,48,3.0,0.9999999403953552,1.0,600000.1875,1799999.75,4.0,843.0,1399999.625,300000.40625,1700000.375,400000.21875,8.166215620386552e-11
Approved,0.986189,HIGH,Approved,LOW,Graduate,Self-Employed,2,5000000.0,19500000.0,14,775,24200000.0,3.9,216099.52,0.518639,168,2.0,0.9999999403953552,1.0,5000000.0,19500000.0,14.0,775.0,3100000.25,4700000.0,9900000.0,6500000.0,8.166215620386552e-11
Rejected,0.002092,HIGH,Rejected,HIGH,Not Graduate,Salaried,3,3200000.0,8200000.0,8,311,22800000.0,2.5625,124428.15,0.466606,96,3.0,-1.3684332778041153e-08,-1.2926308912142304e-08,3200000.0,8200000.0,8.0,311.0,4900000.0,5600000.0,10700000.0,1600000.0,8.166215620386552e-11
Rejected,0.007203,HIGH,Rejected,HIGH,Graduate,Salaried,0,4500000.0,17100000.0,8,303,37200000.0,3.8,259478.2,0.691942,96,1.353272836013275e-07,0.9999999403953552,-1.2926308912142304e-08,4500000.0,17100000.0,8.0,303.0,7400000.0,8200000.0,17400000.0,4200000.0,8.166215620386552e-11
Approved,0.983576,HIGH,Approved,LOW,Graduate,Self-Employed,1,3200000.0,9300000.0,20,741,16500000.0,2.90625,89747.02,0.336551,240,1.0,0.9999999403953552,1.0,3200000.0,9300000.0,20.0,741.0,3800000.0,3500000.0,6900000.0,2300000.0,8.166215620386552e-11
Approved,0.993361,HIGH,Approved,LOW,Not Graduate,Salaried,4,1900000.0,4300000.0,4,826,10300000.0,2.263158,109059.11,0.688794,48,4.0,-1.3684332778041153e-08,-1.2926308912142304e-08,1900000.0,4300000.0,4.0,826.0,2400000.25,-0.1017402932047844,7000000.0,899999.6875,8.166215620386552e-11
Rejected,0.252892,MEDIUM,Rejected,HIGH,Graduate,Salaried,1,1400000.0,4099999.75,20,530,7200000.5,2.928571,39565.89,0.339136,240,1.0,0.9999999403953552,-1.2926308912142304e-08,1400000.0,4099999.75,20.0,530.0,1200000.125,1100000.125,3000000.25,1900000.0,8.166215620386552e-11
Approved,0.986798,HIGH,Approved,LOW,Graduate,Salaried,1,3900000.0,12300000.0,10,683,15800000.0,3.153846,162545.4,0.50014,120,1.0,0.9999999403953552,-1.2926308912142304e-08,3900000.0,12300000.0,10.0,683.0,1000000.1875,699999.875,11700000.0,2400000.0,8.166215620386552e-11
Approved,0.997829,HIGH,Approved,LOW,Graduate,Salaried,5,6100000.0,23600000.0,4,725,42900000.0,3.868852,598557.0,1.177489,48,5.0,0.9999999403953552,-1.2926308912142304e-08,6100000.0,23600000.0,4.0,725.0,17400000.0,5100000.0,15600000.0,4800000.0,8.166215620386552e-11
Approved,0.995871,HIGH,Approved,LOW,Graduate,Salaried,5,5400000.0,21100000.0,12,661,51700000.0,3.907408,252161.52,0.560359,144,5.0,0.9999999403953552,-1.2926308912142304e-08,5400000.0,21100000.0,12.0,661.0,15800000.0,10400000.0,20100000.0,5400000.0,8.166215620386552e-11
Rejected,0.208698,MEDIUM,Approved,HIGH,Not Graduate,Salaried,4,8000000.0,29100000.0,4,421,50900000.0,3.6375,738051.2,1.107077,48,4.0,-1.3684332778041153e-08,-1.2926308912142304e-08,8000000.0,29100000.0,4.0,421.0,3100000.25,12000000.0,27000000.0,8800000.0,8.166215620386552e-11
Approved,0.991761,HIGH,Approved,LOW,Graduate,Self-Employed,2,5000000.0,14600000.0,10,808,28300000.0,2.92,192940.08,0.463056,120,2.0,0.9999999403953552,1.0,5000000.0,14600000.0,10.0,808.0,4400000.0,3500000.0,17300000.0,3100000.0,8.166215620386552e-11
Approved,0.993586,HIGH,Approved,LOW,Graduate,Salaried,4,5700000.0,19600000.0,8,691,26100000.0,3.438596,297413.62,0.626134,96,4.0,0.9999999403953552,-1.2926308912142304e-08,5700000.0,19600000.0,8.0,691.0,8800000.0,2200000.25,12100000.0,3000000.0,8.166215620386552e-11
Approved,0.989875,HIGH,Approved,LOW,Not Graduate,Self-Employed,1,7600000.0,29300000.0,14,690,57000000.0,3.855263,324703.38,0.51269,168,1.0,-1.3684332778041153e-08,1.0,7600000.0,29300000.0,14.0,690.0,13900000.0,4000000.0,30000000.0,9100000.0,8.166215620386552e-11
Approved,0.996538,HIGH,Approved,LOW,Graduate,Self-Employed,3,5900000.0,18900000.0,4,742,46500000.0,3.20339,479352.8,0.974955,48,3.0,0.9999999403953552,1.0,5900000.0,18900000.0,4.0,742.0,10800000.0,4500000.0,23200000.0,8000000.0,8.166215620386552e-11
Approved,0.99195,HIGH,Approved,LOW,Graduate,Salaried,2,3700000.0,10900000.0,12,788,17200000.0,2.945946,130263.52,0.422476,144,2.0,0.9999999403953552,-1.2926308912142304e-08,3700000.0,10900000.0,12.0,788.0,1699999.625,699999.875,12200000.0,2600000.0,8.166215620386552e-11
Approved,0.995335,HIGH,Approved,LOW,Not Graduate,Salaried,1,9100000.0,26200000.0,8,727,64600000.0,2.879121,397563.1,0.524259,96,1.0,-1.3684332778041153e-08,-1.2926308912142304e-08,9100000.0,26200000.0,8.0,727.0,20800000.0,7100000.0,27800000.0,8900000.0,8.166215620386552e-11
Approved,0.991578,HIGH,Approved,LOW,Not Graduate,Self-Employed,0,5400000.0,21400000.0,8,721,38700000.0,3.962963,324727.1,0.721616,96,1.353272836013275e-07,-1.3684332778041153e-08,1.0,5400000.0,21400000.0,8.0,721.0,8200000.0,6400000.0,16700000.0,7400000.0,8.166215620386552e-11
Approved,0.992383,HIGH,Approved,LOW,Not Graduate,Self-Employed,2,6600000.0,25600000.0,6,740,40900000.0,3.878788,474261.44,0.862294,72,2.0,-1.3684332778041153e-08,1.0,6600000.0,25600000.0,6.0,740.0,10900000.0,1900000.125,18900000.0,9200000.0,8.166215620386552e-11
Approved,0.97474,HIGH,Approved,LOW,Not Graduate,Salaried,1,8800000.0,20200000.0,6,627,69800000.0,2.295454,374221.9,0.510303,72,1.0,-1.3684332778041153e-08,-1.2926308912142304e-08,8800000.0,20200000.0,6.0,627.0,24200000.0,16100001.0,17600000.0,11900000.0,8.166215620386552e-11
Approved,0.993035,HIGH,Approved,LOW,Graduate,Self-Employed,2,1500000.0,4500000.0,14,826,11100000.0,3.0,49869.12,0.398953,168,2.0,0.9999999403953552,1.0,1500000.0,4500000.0,14.0,826.0,3200000.25,1700000.125,4599999.5,1600000.0,8.166215620386552e-11
Approved,0.992523,HIGH,Approved,LOW,Not Graduate,Salaried,2,4100000.0,15600000.0,12,838,28100000.0,3.804878,186432.2,0.545655,144,2.0,-1.3684332778041153e-08,-1.2926308912142304e-08,4100000.0,15600000.0,12.0,838.0,5500000.0,4800000.0,15100000.0,2700000.0,8.166215620386552e-11
Approved,0.993596,HIGH,Approved,LOW,Graduate,Salaried,0,3300000.0,9000000.0,16,797,23000000.0,2.727273,94131.18,0.342295,192,1.353272836013275e-07,0.9999999403953552,-1.2926308912142304e-08,3300000.0,9000000.0,16.0,797.0,2999999.75,6400000.0,10300000.0,3300000.0,8.166215620386552e-11
Rejected,0.0019,HIGH,Rejected,HIGH,Graduate,Salaried,4,6500000.0,24000000.0,16,373,33000000.0,3.692308,251016.45,0.463415,192,4.0,0.9999999403953552,-1.2926308912142304e-08,6500000.0,24000000.0,16.0,373.0,5600000.0,5100000.0,15600000.0,6700000.0,8.166215620386552e-11
Approved,0.996583,HIGH,Approved,LOW,Not Graduate,Salaried,5,2900000.0,6700000.0,14,796,21400000.0,2.310345,74249.58,0.30724,168,5.0,-1.3684332778041153e-08,-1.2926308912142304e-08,2900000.0,6700000.0,14.0,796.0,3800000.0,3700000.0,9700000.0,4200000.0,8.166215620386552e-11
Approved,0.954216,HIGH,Approved,LOW,Not Graduate,Salaried,3,8400000.0,31100000.0,18,599,63700000.0,3.702381,310951.38,0.444216,216,3.0,-1.3684332778041153e-08,-1.2926308912142304e-08,8400000.0,31100000.0,18.0,599.0,20600000.0,14100000.0,20500000.0,8500000.0,8.166215620386552e-11
Approved,0.992272,HIGH,Approved,LOW,Graduate,Self-Employed,2,2800000.0,7000000.5,2,834,12800000.0,2.5,323014.5,1.384348,24,2.0,0.9999999403953552,1.0,2800000.0,7000000.5,2.000000238418579,834.0,500000.15625,2900000.0,8100000.0,1300000.0,8.166215620386552e-11
Rejected,0.001296,HIGH,Rejected,HIGH,Graduate,Salaried,5,8300000.0,17700000.0,12,334,65100000.0,2.13253,211528.86,0.305825,144,5.0,0.9999999403953552,-1.2926308912142304e-08,8300000.0,17700000.0,12.0,334.0,19600000.0,13200000.0,22500000.0,9800000.0,8.166215620386552e-11
Approved,0.983232,HIGH,Approved,LOW,Not Graduate,Self-Employed,5,500000.1875,899999.8125,18,618,3600000.25,1.799999,8998.59,0.215966,216,5.0,-1.3684332778041153e-08,1.0,500000.1875,899999.8125,18.0,618.0,1399999.625,599999.875,1200000.375,400000.21875,8.166215620386552e-11
Approved,0.985311,HIGH,Approved,LOW,Not Graduate,Self-Employed,1,1800000.0,4400000.0,8,689,11100001.0,2.444444,66766.32,0.445109,96,1.0,-1.3684332778041153e-08,1.0,1800000.0,4400000.0,8.0,689.0,3200000.25,2500000.25,3800000.25,1600000.0,8.166215620386552e-11
Approved,0.986636,HIGH,Approved,LOW,Graduate,Self-Employed,4,2000000.0,4000000.75,10,636,7800000.5,2.0,52860.3,0.317162,120,4.0,0.9999999403953552,1.0,2000000.0,4000000.75,10.0,636.0,2100000.25,-0.1017402932047844,4000000.25,1700000.0,8.166215620386552e-11
Approved,0.965476,HIGH,Rejected,LOW,Graduate,Self-Employed,3,8300000.0,31400000.0,6,674,25900000.0,3.783132,581711.25,0.841028,72,3.0,0.9999999403953552,1.0,8300000.0,31400000.0,6.0,674.0,1000000.1875,1600000.125,17200000.0,6100000.0,8.166215620386552e-11
Approved,0.994823,HIGH,Approved,LOW,Graduate,Salaried,4,500000.1875,1799999.75,20,777,2700000.25,3.599998,17370.39,0.416889,240,4.0,0.9999999403953552,-1.2926308912142304e-08,500000.1875,1799999.75,20.0,777.0,900000.1875,300000.40625,1299999.375,200000.21875,8.166215620386552e-11
Approved,0.636022,MEDIUM,Approved,LOW,Not Graduate,Salaried,2,1700000.25,3699999.75,20,558,13000000.0,2.17647,35705.8,0.252041,240,2.0,-1.3684332778041153e-08,-1.2926308912142304e-08,1700000.25,3699999.75,20.0,558.0,4100000.0,1400000.125,5000000.5,2500000.0,8.166215620386552e-11
Approved,0.993758,HIGH,Approved,LOW,Graduate,Salaried,3,5800000.0,20100000.0,18,791,34100000.0,3.465517,200968.6,0.415797,216,3.0,0.9999999403953552,-1.2926308912142304e-08,5800000.0,20100000.0,18.0,791.0,1399999.625,10800000.0,16300000.0,5600000.0,8.166215620386552e-11
Approved,0.982052,HIGH,Approved,LOW,Not Graduate,Self-Employed,0,7300000.0,23300000.0,2,616,51500000.0,3.191781,1075176.8,1.767414,24,1.353272836013275e-07,-1.3684332778041153e-08,1.0,7300000.0,23300000.0,2.000000238418579,616.0,15700000.0,5900000.0,25800000.0,4100000.0,8.166215620386552e-11
Approved,0.936402,HIGH,Approved,LOW,Not Graduate,Self-Employed,0,2200000.0,8300000.0,10,585,11500000.0,3.772727,109685.12,0.598282,120,1.353272836013275e-07,-1.3684332778041153e-08,1.0,2200000.0,8300000.0,10.0,585.0,3600000.0,1700000.125,4300000.5,1900000.0,8.166215620386552e-11
Approved,0.991972,HIGH,Approved,LOW,Not Graduate,Salaried,1,5200000.0,15000000.0,12,794,32000000.0,2.884616,179261.77,0.413681,144,1.0,-1.3684332778041153e-08,-1.2926308912142304e-08,5200000.0,15000000.0,12.0,794.0,3200000.25,7200000.0,16500000.0,5100000.0,8.166215620386552e-11
Rejected,0.05004,HIGH,Rejected,HIGH,Graduate,Salaried,2,8400000.0,20700000.0,6,513,43600000.0,2.464286,383484.8,0.547836,72,2.0,0.9999999403953552,-1.2926308912142304e-08,8400000.0,20700000.0,6.0,513.0,500000.15625,16400000.0,18800000.0,7900000.0,8.166215620386552e-11
Approved,0.986674,HIGH,Approved,LOW,Graduate,Salaried,0,9300000.0,20100000.0,10,743,42100000.0,2.16129,265623.0,0.342739,120,1.353272836013275e-07,0.9999999403953552,-1.2926308912142304e-08,9300000.0,20100000.0,10.0,743.0,4800000.0,1799999.875,21900000.0,13600000.0,8.166215620386552e-11
Rejected,0.037231,HIGH,Rejected,HIGH,Graduate,Self-Employed,2,6600000.0,22800000.0,8,490,40500000.0,3.454546,345970.9,0.629038,96,2.0,0.9999999403953552,1.0,6600000.0,22800000.0,8.0,490.0,6100000.0,10000000.0,18000000.0,6400000.0,8.166215620386552e-11
Rejected,0.024663,HIGH,Rejected,HIGH,Not Graduate,Salaried,1,4600000.0,12700000.0,8,468,28800000.0,2.76087,192711.88,0.502727,96,1.0,-1.3684332778041153e-08,-1.2926308912142304e-08,4600000.0,12700000.0,8.0,468.0,10400000.0,-0.1017402932047844,14500000.0,3900000.0,8.166215620386552e-11
Rejected,0.023472,HIGH,Rejected,HIGH,Graduate,Self-Employed,2,4100000.0,11400000.0,14,505,31200000.0,2.780488,126335.11,0.369761,168,2.0,0.9999999403953552,1.0,4100000.0,11400000.0,14.0,505.0,8100000.0,7500000.0,10100000.0,5500000.0,8.166215620386552e-11
Rejected,0.001112,HIGH,Rejected,HIGH,Not Graduate,Salaried,4,5500000.0,21200000.0,20,359,34500000.0,3.854545,204584.6,0.446366,240,4.0,-1.3684332778041153e-08,-1.2926308912142304e-08,5500000.0,21200000.0,20.0,359.0,4200000.0,5300000.0,18600000.0,6400000.0,8.166215620386552e-11
Rejected,0.001299,HIGH,Rejected,HIGH,Graduate,Self-Employed,3,4100000.0,13900000.0,20,383,23800000.0,3.390244,134138.02,0.392599,240,3.0,0.9999999403953552,1.0,4100000.0,13900000.0,20.0,383.0,1900000.125,2300000.0,15800000.0,3800000.0,8.166215620386552e-11
Rejected,0.059068,HIGH,Rejected,HIGH,Graduate,Self-Employed,3,600000.1875,1700000.75,14,521,3300001.0,2.833334,18839.45,0.376789,168,3.0,0.9999999403953552,1.0,600000.1875,1700000.75,14.0,521.0,0.16867469251155853,1000000.125,1700000.375,600000.1875,8.166215620386552e-11
Rejected,0.001495,HIGH,Rejected,HIGH,Not Graduate,Salaried,1,5100000.0,13800000.0,14,350,24600000.0,2.705882,152931.97,0.35984,168,1.0,-1.3684332778041153e-08,-1.2926308912142304e-08,5100000.0,13800000.0,14.0,350.0,6200000.0,2200000.25,12600000.0,3600000.0,8.166215620386552e-11
Rejected,0.096264,HIGH,Rejected,HIGH,Not Graduate,Salaried,5,800000.1875,2199999.75,6,493,5199999.0,2.749999,40756.84,0.611352,72,5.0,-1.3684332778041153e-08,-1.2926308912142304e-08,800000.1875,2199999.75,6.0,493.0,900000.1875,499999.90625,2799999.25,999999.6875,8.166215620386552e-11
Rejected,0.065325,HIGH,Rejected,HIGH,Not Graduate,Salaried,1,6000000.0,20100000.0,6,476,44600000.0,3.35,372369.3,0.744739,72,1.0,-1.3684332778041153e-08,-1.2926308912142304e-08,6000000.0,20100000.0,6.0,476.0,13900000.0,10000000.0,15200000.0,5500000.0,8.166215620386552e-11
Rejected,0.002466,HIGH,Rejected,HIGH,Not Graduate,Self-Employed,5,7300000.0,19600000.0,10,373,45200000.0,2.684932,259015.45,0.425779,120,5.0,-1.3684332778041153e-08,1.0,7300000.0,19600000.0,10.0,373.0,10400000.0,4700000.0,19500000.0,10600000.0,8.166215620386552e-11
Rejected,0.089453,HIGH,Rejected,HIGH,Graduate,Self-Employed,4,500000.1875,1500000.75,6,461,3700000.75,3.0,27788.77,0.66693,72,4.0,0.9999999403953552,1.0,500000.1875,1500000.75,6.0,461.0,1300000.125,499999.90625,1700000.375,200000.21875,8.166215620386552e-11
Rejected,0.002683,HIGH,Rejected,HIGH,Graduate,Self-Employed,4,6300000.0,15200000.0,16,415,45900000.0,2.412698,158977.11,0.302814,192,4.0,0.9999999403953552,1.0,6300000.0,15200000.0,16.0,415.0,15500000.0,1799999.875,20700000.0,7900000.0,8.166215620386552e-11
Rejected,0.003586,HIGH,Rejected,HIGH,Not Graduate,Self-Employed,2,6900000.0,15600000.0,6,352,50900000.0,2.26087,289003.06,0.502614,72,2.0,-1.3684332778041153e-08,1.0,6900000.0,15600000.0,6.0,352.0,13000000.0,5300000.0,22600000.0,10000000.0,8.166215620386552e-11
Approved,0.995842,HIGH,Approved,LOW,Not Graduate,Self-Employed,4,3900000.0,12300000.0,18,784,30400000.0,3.153846,122980.77,0.378402,216,4.0,-1.3684332778041153e-08,1.0,3900000.0,12300000.0,18.0,784.0,7600000.0,6900000.0,13100000.0,2800000.0,8.166215620386552e-11
Rejected,0.004419,HIGH,Rejected,HIGH,Not Graduate,Salaried,5,7500000.0,15800000.0,18,458,45100000.0,2.106666,157975.31,0.25276,216,5.0,-1.3684332778041153e-08,-1.2926308912142304e-08,7500000.0,15800000.0,18.0,458.0,7800000.0,6500000.0,22400000.0,8400000.0,8.166215620386552e-11
Approved,0.525625,MEDIUM,Approved,LOW,Graduate,Self-Employed,4,800000.1875,2400000.75,2,461,5199999.5,3.0,110747.85,1.661218,24,4.0,0.9999999403953552,1.0,800000.1875,2400000.75,2.000000238418579,461.0,1300000.125,1300000.125,2299999.25,300000.21875,8.166215620386552e-11
